Roll No.,MEFA,EDC,DS,PS,MFCS,DLD,EDC LAB,DS LAB,PCS LAB
10MA1A0501,51,33,49,50,56,48,71,67,69
10MA1A0502,48,46,47,44,67,56,70,69,67
10MA1A0503,58,62,81,67,65,71,73,73,67
10MA1A0504,43,41,42,41,64,43,69,68,69
10MA1A0505,49,50,56,63,67,74,70,71,70
10MA1A0506,62,59,59,63,92,75,75,75,67
10MA1A0507,64,63,60,49,49,74,71,70,66
10MA1A0508,51,62,56,76,79,73,75,75,66
10MA1A0509,42,25,46,31,53,20,64,68,67
10MA1A0510,59,34,49,40,73,60,71,71,65
10MA1A0511,51,44,68,70,64,68,72,70,68
10MA1A0512,49,31,45,61,75,65,73,71,69
10MA1A0513,58,50,71,32,55,29,70,68,68
10MA1A0514,47,39,40,36,52,75,72,71,66
10MA1A0515,51,62,55,52,54,53,67,68,68
10MA1A0516,36,44,61,61,73,72,73,71,72
10MA1A0517,57,34,55,41,53,45,70,71,69
10MA1A0518,43,28,43,14,49,40,65,65,67
10MA1A0519,58,60,62,60,81,77,75,74,69
10MA1A0520,34,57,54,69,77,67,74,74,66
10MA1A0521,57,49,61,38,79,55,75,75,70
10MA1A0522,45,45,41,33,51,65,71,71,62
10MA1A0523,45,33,52,40,51,64,68,68,66
10MA1A0524,44,28,55,48,69,62,68,71,65
10MA1A0525,52,75,65,49,73,80,75,75,72
10MA1A0526,55,48,55,47,73,73,75,73,68
10MA1A0527,19,18,11,14,14,13,22,13,
10MA1A0528,38,45,56,47,76,66,73,72,67
10MA1A0529,55,31,55,48,73,66,71,70,68
10MA1A0530,54,44,52,41,56,45,66,66,70
10MA1A0531,55,27,53,40,50,65,71,71,68
10MA1A0532,37,43,58,28,61,51,68,70,68
10MA1A0533,29,8,37,4,12,3,42,59,61
10MA1A0535,18,10,25,10,15,23,44,69,58
10MA1A0537,20,12,18,8,17,19,54,64,60
10MA1A0538,30,22,40,42,57,30,65,68,64
10MA1A0539,30,6,27,14,22,3,45,57,60
10MA1A0540,22,16,33,10,21,21,45,69,59
10MA1A0541,40,25,40,41,47,46,60,63,60
10MA1A0542,33,44,56,63,49,60,72,72,60
10MA1A0543,65,71,63,49,76,70,75,75,66
10MA1A0544,47,48,42,22,55,48,65,67,67
10MA1A0545,54,27,52,29,51,64,71,66,64
10MA1A0546,27,40,50,40,46,60,71,74,66
10MA1A0547,23,7,31,21,22,5,45,66,63
10MA1A0548,33,10,12,11,11,26,47,52,59
10MA1A0549,33,17,17,9,16,19,45,69,54
10MA1A0550,44,22,43,22,47,21,63,69,61
10MA1A0551,33,18,36,30,42,10,62,69,60
10MA1A0552,25,10,16,8,7,7,44,56,65
10MA1A0553,47,26,47,28,44,50,62,68,59
10MA1A0554,32,25,45,40,51,51,45,70,62
10MA1A0555,46,26,40,40,55,24,67,68,63
10MA1A0556,41,7,12,20,0,19,50,52,64
10MA1A0557,45,10,43,23,17,44,60,66,59
10MA1A0559,29,26,47,57,59,60,67,74,60
10MA1A0560,54,49,49,50,59,43,72,73,70
11MA5A0501,50,34,46,20,53,50,68,72,65
11MA5A0502,41,32,40,40,48,53,68,72,63
10MA1A1201,49,40,53,54,40,23,67,71,64
10MA1A1202,42,34,46,20,44,45,66,69,62
10MA1A1203,31,13,43,9,24,42,62,69,63
10MA1A1204,30,41,41,48,58,40,69,72,63
10MA1A1205,50,45,44,55,51,43,71,72,70
10MA1A1206,55,47,50,44,64,48,73,75,66
10MA1A1207,50,41,53,29,57,66,70,71,70
10MA1A1208,43,25,46,37,62,49,66,72,63
10MA1A1209,56,68,53,63,81,84,73,71,67
10MA1A1210,34,25,42,13,40,27,61,65,64
10MA1A1211,46,23,48,25,40,50,64,68,68
10MA1A1212,28,15,41,10,55,47,62,70,64
10MA1A1213,59,51,56,68,73,62,73,73,68
10MA1A1214,52,34,51,43,52,52,67,71,63
10MA1A1215,42,17,54,50,42,58,62,68,64
10MA1A1216,63,28,46,40,62,40,65,72,63
10MA1A1217,52,58,65,65,87,56,71,74,67
10MA1A1218,60,30,41,44,48,34,69,72,68
10MA1A1219,48,23,59,28,50,62,68,71,71
10MA1A1220,53,40,50,48,66,56,67,72,64
10MA1A1221,47,44,57,48,41,46,67,71,64
10MA1A1222,13,19,17,6,13,21,59,67,62
10MA1A1223,24,7,29,10,30,36,58,59,65
10MA1A1224,25,16,28,19,52,40,61,68,62
10MA1A1225,47,29,46,50,64,42,70,71,64
10MA1A1226,40,33,28,26,42,27,64,72,63
10MA1A1227,16,6,14,7,21,31,52,66,62
10MA1A1228,23,13,40,31,52,31,67,69,61
10MA1A1229,40,40,42,43,56,44,67,71,59
10MA1A1230,27,27,40,29,54,40,68,69,59
10MA1A1231,31,13,23,40,40,47,66,67,62
10MA1A1232,30,40,40,30,41,17,66,69,60
10MA1A1233,47,17,43,44,40,50,67,73,60
10MA1A1234,30,15,24,21,52,40,54,65,58
10MA1A1236,49,17,22,56,44,69,68,72,60
10MA1A1237,28,24,28,25,53,23,68,69,62
10MA1A1238,45,12,44,46,40,24,61,65,62
10MA1A1239,46,27,40,24,46,45,66,71,63
10MA1A1240,51,23,51,64,63,64,69,72,67
10MA1A1241,53,26,41,32,62,44,60,61,61
10MA1A1242,57,31,56,59,57,51,66,73,68
10MA1A1243,42,25,27,32,40,43,67,73,61
10MA1A1244,50,40,42,28,40,48,63,71,60
10MA1A1245,50,42,49,42,59,48,69,71,69
