MEFA,EDC,DS,PS,MFCS,DLD,EDC LAB,DS LAB,PCS LAB
51,33,49,50,56,48,71,67,69
48,46,47,44,67,56,70,69,67
58,62,81,67,65,71,73,73,67
43,41,42,41,64,43,69,68,69
49,50,56,63,67,74,70,71,70
62,59,59,63,92,75,75,75,67
64,63,60,49,49,74,71,70,66
51,62,56,76,79,73,75,75,66
42,25,46,31,53,20,64,68,67
59,34,49,40,73,60,71,71,65
51,44,68,70,64,68,72,70,68
49,31,45,61,75,65,73,71,69
58,50,71,32,55,29,70,68,68
47,39,40,36,52,75,72,71,66
51,62,55,52,54,53,67,68,68
36,44,61,61,73,72,73,71,72
57,34,55,41,53,45,70,71,69
43,28,43,14,49,40,65,65,67
58,60,62,60,81,77,75,74,69
34,57,54,69,77,67,74,74,66
57,49,61,38,79,55,75,75,70
45,45,41,33,51,65,71,71,62
45,33,52,40,51,64,68,68,66
44,28,55,48,69,62,68,71,65
52,75,65,49,73,80,75,75,72
55,48,55,47,73,73,75,73,68
19,18,11,14,14,13,22,13,
38,45,56,47,76,66,73,72,67
55,31,55,48,73,66,71,70,68
54,44,52,41,56,45,66,66,70
55,27,53,40,50,65,71,71,68
37,43,58,28,61,51,68,70,68
29,8,37,4,12,3,42,59,61
18,10,25,10,15,23,44,69,58
20,12,18,8,17,19,54,64,60
30,22,40,42,57,30,65,68,64
30,6,27,14,22,3,45,57,60
22,16,33,10,21,21,45,69,59
40,25,40,41,47,46,60,63,60
33,44,56,63,49,60,72,72,60
65,71,63,49,76,70,75,75,66
47,48,42,22,55,48,65,67,67
54,27,52,29,51,64,71,66,64
27,40,50,40,46,60,71,74,66
23,7,31,21,22,5,45,66,63
33,10,12,11,11,26,47,52,59
33,17,17,9,16,19,45,69,54
44,22,43,22,47,21,63,69,61
33,18,36,30,42,10,62,69,60
25,10,16,8,7,7,44,56,65
47,26,47,28,44,50,62,68,59
32,25,45,40,51,51,45,70,62
46,26,40,40,55,24,67,68,63
41,7,12,20,0,19,50,52,64
45,10,43,23,17,44,60,66,59
29,26,47,57,59,60,67,74,60
54,49,49,50,59,43,72,73,70
50,34,46,20,53,50,68,72,65
41,32,40,40,48,53,68,72,63
49,40,53,54,40,23,67,71,64
42,34,46,20,44,45,66,69,62
31,13,43,9,24,42,62,69,63
30,41,41,48,58,40,69,72,63
50,45,44,55,51,43,71,72,70
55,47,50,44,64,48,73,75,66
50,41,53,29,57,66,70,71,70
43,25,46,37,62,49,66,72,63
56,68,53,63,81,84,73,71,67
34,25,42,13,40,27,61,65,64
46,23,48,25,40,50,64,68,68
28,15,41,10,55,47,62,70,64
59,51,56,68,73,62,73,73,68
52,34,51,43,52,52,67,71,63
42,17,54,50,42,58,62,68,64
63,28,46,40,62,40,65,72,63
52,58,65,65,87,56,71,74,67
60,30,41,44,48,34,69,72,68
48,23,59,28,50,62,68,71,71
53,40,50,48,66,56,67,72,64
47,44,57,48,41,46,67,71,64
13,19,17,6,13,21,59,67,62
24,7,29,10,30,36,58,59,65
25,16,28,19,52,40,61,68,62
47,29,46,50,64,42,70,71,64
40,33,28,26,42,27,64,72,63
16,6,14,7,21,31,52,66,62
23,13,40,31,52,31,67,69,61
40,40,42,43,56,44,67,71,59
27,27,40,29,54,40,68,69,59
31,13,23,40,40,47,66,67,62
30,40,40,30,41,17,66,69,60
47,17,43,44,40,50,67,73,60
30,15,24,21,52,40,54,65,58
49,17,22,56,44,69,68,72,60
28,24,28,25,53,23,68,69,62
45,12,44,46,40,24,61,65,62
46,27,40,24,46,45,66,71,63
51,23,51,64,63,64,69,72,67
53,26,41,32,62,44,60,61,61
57,31,56,59,57,51,66,73,68
42,25,27,32,40,43,67,73,61
50,40,42,28,40,48,63,71,60
50,42,49,42,59,48,69,71,69
